"","Area","Violent_Crime_Rate","Murder_Rate","Rape_Revised_Rate","Rape_Legacy_Rate","Robbery_Rate","Aggravated_Assault_Rate","Property_Crime_Rate","Burglary_Rate","Larceny_Rate","Motor_Rate"
"7","United States Total6, 7, 8, 9","4","8.6","3.5","4.9","1.2","5.1","-1.3","-4.6","-1.5","7.4"
"10","Northeast6","-1.2","-0.6","1.4","2.6","-5.6","0.7","-4.4","-9.6","-3.7","0.9"
"13","New England6","-1.2","-10.4","-2.1","-1.4","-2.3","-0.6","-5.2","-9","-5.2","5.2"
"16","     Connecticut","2.3","-32.8","-4.4","-4.1","-7.6","11.7","-1.4","-2.3","-2.8","10.6"
"19","     Maine","-4.5","-13","-10.6","-11","-14.5","2","-10.1","-14.7","-9.1","-4.8"
"22","     Massachusetts","-2.9","2.3","2.2","3.5","1.9","-4.9","-7.2","-12.1","-6.6","0.2"
"25","     New Hampshire","-2","13.3","-9.6","-9.6","-10.1","3.4","-13.9","-14.9","-14.2","-2.7"
"28","     Rhode Island6","-1.6","-6.5","-5.4","-4.1","-1.3","-0.5","0.1","-3.8","-0.3","15.2"
"31","     Vermont","32.4","40","18.7","19.2","1","43.4","17","3.4","20.2","43.9"
"34","Middle Atlantic6","-1.2","1.3","2.8","4.1","-6.3","1.1","-4.1","-9.9","-3.2","-1.1"
"37","     New Jersey","-4.2","2.5","5.8","6.9","-7.7","-2.7","-5.2","-9.6","-4.2","-3.8"
"40","     New York6","-1.1","2.8","1.9","3.5","-6.5","1.3","-3.8","-9.7","-2.7","-5.8"
"43","     Pennsylvania","0.2","-0.6","3.1","4.1","-4.9","2.7","-3.9","-10.2","-3.3","7.5"
"46","Midwest6","5.9","13.5","1.9","3.1","2.9","7.8","-0.7","-2.4","-1.2","8.1"
"49","East North Central6","7.1","20.4","3.9","4.8","3.6","9.3","-0.3","-1.5","-0.8","7.7"
"52","     Illinois","12.3","39.8","-0.4","0.9","18.4","10.5","2.1","2.4","1","12.5"
"55","     Indiana6","5.8","18.6","4.8","5.4","3.5","6.7","-0.1","-0.9","-0.8","8.8"
"58","     Michigan","9.3","2.2","6.2","6.9","-8.9","15.5","-0.8","-2","-1.6","7.3"
"61","     Ohio6","1.5","25.3","2.7","3.8","-0.7","2","-1.4","-4.4","-1.6","13.1"
"64","     Wisconsin6","0.7","-4.6","9.6","10.1","-10.1","4.8","-2.1","-0.9","-1.5","-9.4"
"67","West North Central6","2.9","-4.2","-2.6","-0.9","0.8","4.7","-1.5","-4.4","-2","8.8"
"70","     Iowa","5.7","-2.7","3.5","5.1","9.3","5.6","1.1","0.4","0.1","13.7"
"73","     Kansas","-3.7","-11.9","-22.1","-20.8","-8.3","1.5","-2.1","-8","-0.6","-1"
"76","     Minnesota","0.6","-24.1","1.2","3.1","-1.1","1.7","-3.5","-3.6","-4.5","9.4"
"79","     Missouri","4.5","6.8","-0.7","1.4","2.9","5.5","-1.9","-6.8","-1.8","7.6"
"82","     Nebraska6","7.4","-21","12.3","13.9","-4.8","10.4","1.3","*","-0.5","17.9"
