"","State","variable","value"
"1","Alabama","Cases",127616
"2","Alaska","Cases",6109
"3","Arizona","Cases",202375
"4","Arkansas","Cases",61497
"5","California","Cases",716628
"6","Colorado","Cases",58118
"7","Connecticut","Cases",53006
"8","Delaware","Cases",17535
"9","District of Columbia","Cases",14049
"10","Florida","Cases",631032
"11","Georgia","Cases",256544
"12","Guam","Cases",2416
"13","Hawaii","Cases",8628
"14","Idaho","Cases",32703
"15","Illinois","Cases",239115
"16","Indiana","Cases",96988
"17","Iowa","Cases",65846
"18","Kansas","Cases",43491
"19","Kentucky","Cases",51762
"20","Louisiana","Cases",149583
"21","Maine","Cases",4548
"22","Maryland","Cases",109353
"23","Massachusetts","Cases",128888
"24","Michigan","Cases",113969
"25","Minnesota","Cases",76404
"26","Mississippi","Cases",83584
"27","Missouri","Cases",87414
"28","Montana","Cases",7526
"29","Nebraska","Cases",34574
"30","Nevada","Cases",69708
"31","New Hampshire","Cases",7297
"32","New Jersey","Cases",194070
"33","New Mexico","Cases",25460
"34","New York","Cases",440237
"35","North Carolina","Cases",169966
"36","North Dakota","Cases",12004
"37","Northern Mariana Islands","Cases",57
"38","Ohio","Cases",124610
"39","Oklahoma","Cases",59399
"40","Oregon","Cases",26958
"41","Pennsylvania","Cases",139591
"42","Puerto Rico","Cases",33421
"43","Rhode Island","Cases",22002
"44","South Carolina","Cases",119846
"45","South Dakota","Cases",13749
"46","Tennessee","Cases",153274
"47","Texas","Cases",645534
"48","Utah","Cases",52505
"49","Vermont","Cases",1635
"50","Virgin Islands","Cases",1143
"51","Virginia","Cases",121615
"52","Washington","Cases",78061
"53","West Virginia","Cases",10507
"54","Wisconsin","Cases",81688
"55","Wyoming","Cases",3866
"56","Alabama","Cases",128239
"57","Alaska","Cases",6181
"58","Arizona","Cases",202898
"59","Arkansas","Cases",62112
"60","California","Cases",722035
"61","Colorado","Cases",58392
"62","Connecticut","Cases",53108
"63","Delaware","Cases",17549
"64","District of Columbia","Cases",14077
"65","Florida","Cases",633434
"66","Georgia","Cases",258482
"67","Guam","Cases",2463
"68","Hawaii","Cases",8966
"69","Idaho","Cases",33059
"70","Illinois","Cases",241282
"71","Indiana","Cases",97853
"72","Iowa","Cases",66463
"73","Kansas","Cases",44529
"74","Kentucky","Cases",52704
"75","Louisiana","Cases",150734
"76","Maine","Cases",4567
"77","Maryland","Cases",109808
"78","Massachusetts","Cases",121131
"79","Michigan","Cases",114603
"80","Minnesota","Cases",77137
"81","Mississippi","Cases",84365
"82","Missouri","Cases",88974
"83","Montana","Cases",7715
"84","Nebraska","Cases",34995
"85","Nevada","Cases",69927
"86","New Hampshire","Cases",7309
"87","New Jersey","Cases",194378
"88","New Mexico","Cases",25612
"89","New York","Cases",440947
"90","North Carolina","Cases",171140
"91","North Dakota","Cases",12271
"92","Northern Mariana Islands","Cases",57
"93","Ohio","Cases",125767
"94","Oklahoma","Cases",60118
"95","Oregon","Cases",27085
"96","Pennsylvania","Cases",140577
"97","Puerto Rico","Cases",34003
"98","Rhode Island","Cases",22078
"99","South Carolina","Cases",120503
"100","South Dakota","Cases",14003
"101","Tennessee","Cases",154833
"102","Texas","Cases",649844
"103","Utah","Cases",52950
"104","Vermont","Cases",1637
"105","Virgin Islands","Cases",1144
"106","Virginia","Cases",122542
"107","Washington","Cases",78554
"108","West Virginia","Cases",10642
"109","Wisconsin","Cases",82261
"110","Wyoming","Cases",3911
"111","Alabama","Cases",129285
"112","Alaska","Cases",6287
"113","Arizona","Cases",203964
"114","Arkansas","Cases",63504
"115","California","Cases",727398
"116","Colorado","Cases",58680
"117","Connecticut","Cases",53209
"118","Delaware","Cases",17653
"119","District of Columbia","Cases",14135
"120","Florida","Cases",637005
"121","Georgia","Cases",261056
"122","Guam","Cases",2529
"123","Hawaii","Cases",9177
"124","Idaho","Cases",33361
"125","Illinois","Cases",242715
"126","Indiana","Cases",98971
"127","Iowa","Cases",67693
"128","Kansas","Cases",44755
"129","Kentucky","Cases",54067
"130","Louisiana","Cases",151547
"131","Maine","Cases",4617
"132","Maryland","Cases",110504
"133","Massachusetts","Cases",121546
"134","Michigan","Cases",115393
"135","Minnesota","Cases",78175
"136","Mississippi","Cases",85116
"137","Missouri","Cases",90392
"138","Montana","Cases",7903
"139","Nebraska","Cases",35469
"140","Nevada","Cases",70319
"141","New Hampshire","Cases",7347
"142","New Jersey","Cases",194756
"143","New Mexico","Cases",25812
"144","New York","Cases",441835
"145","North Carolina","Cases",172791
"146","North Dakota","Cases",12633
"147","Northern Mariana Islands","Cases",57
"148","Ohio","Cases",127112
"149","Oklahoma","Cases",61027
"150","Oregon","Cases",27356
"151","Pennsylvania","Cases",141578
"152","Puerto Rico","Cases",34198
"153","Rhode Island","Cases",22143
"154","South Carolina","Cases",121696
"155","South Dakota","Cases",14337
"156","Tennessee","Cases",157028
"157","Texas","Cases",653321
"158","Utah","Cases",53412
"159","Vermont","Cases",1637
"160","Virgin Islands","Cases",1150
"161","Virginia","Cases",123668
"162","Washington","Cases",79120
"163","West Virginia","Cases",10845
"164","Wisconsin","Cases",83119
"165","Wyoming","Cases",3939
"166","Alabama","Cases",130393
"167","Alaska","Cases",6416
"168","Arizona","Cases",204686
"169","Arkansas","Cases",64678
"170","California","Cases",732691
"171","Colorado","Cases",59021
"172","Connecticut","Cases",53365
"173","Delaware","Cases",17752
"174","District of Columbia","Cases",14186
"175","Florida","Cases",640203
"176","Georgia","Cases",263047
"177","Guam","Cases",2588
"178","Hawaii","Cases",9448
"179","Idaho","Cases",33628
"180","Illinois","Cases",248253
"181","Indiana","Cases",100011
"182","Iowa","Cases",68757
"183","Kansas","Cases",46049
"184","Kentucky","Cases",55500
"185","Louisiana","Cases",152369
"186","Maine","Cases",4632
"187","Maryland","Cases",111332
"188","Massachusetts","Cases",121758
"189","Michigan","Cases",116470
"190","Minnesota","Cases",79018
"191","Mississippi","Cases",85939
"192","Missouri","Cases",91994
"193","Montana","Cases",8046
"194","Nebraska","Cases",35661
"195","Nevada","Cases",70783
"196","New Hampshire","Cases",7368
"197","New Jersey","Cases",195205
"198","New Mexico","Cases",25902
"199","New York","Cases",442698
"200","North Carolina","Cases",174848
"201","North Dakota","Cases",12977
"202","Northern Mariana Islands","Cases",57
"203","Ohio","Cases",128444
"204","Oklahoma","Cases",62040
"205","Oregon","Cases",27605
"206","Pennsylvania","Cases",142537
"207","Puerto Rico","Cases",34241
"208","Rhode Island","Cases",22243
"209","South Carolina","Cases",123325
"210","South Dakota","Cases",14596
"211","Tennessee","Cases",158120
"212","Texas","Cases",658789
"213","Utah","Cases",53940
"214","Vermont","Cases",1642
"215","Virgin Islands","Cases",1150
"216","Virginia","Cases",124779
"217","Washington","Cases",79721
"218","West Virginia","Cases",11037
"219","Wisconsin","Cases",84519
"220","Wyoming","Cases",3989
"221","Alabama","Cases",131803
"222","Alaska","Cases",6514
"223","Arizona","Cases",205518
"224","Arkansas","Cases",65226
"225","California","Cases",737073
"226","Colorado","Cases",59362
