Sex,Race/Ethnicity,Age,Stage at Diagnosis,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000"
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2000,489.4587
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2001,490.4975
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2002,487.8953
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2003,475.3538
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2004,476.5662
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2005,474.3986
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2006,479.3575
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2007,484.4797
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2008,480.3863
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2009,476.9112
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2010,463.8919
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2011,463.4617
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2012,451.5838
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2013,447.858
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2014,444.902
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2015,445.2486
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2016,440.7928
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2017,434.0294
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2000,96.3874
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2001,97.5365
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2002,97.1129
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2003,97.2246
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2004,99.2661
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2005,100.3515
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2006,100.5357
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2007,101.9042
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2008,103.5576
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2009,103.9153
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2010,101.5093
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2011,102.7363
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2012,102.8114
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2013,102.3435
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2014,103.519
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2015,104.2906
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2016,102.8279
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2017,101.9943
